Solicitação,Obra,Solicitante,Data,Referência,Descrição,Unidade de medida,Quantidade,Valor do material,Total material,Valor mão de obra,Total mão de obra,Total,Contrato,Apropriação de obra,Observação,Status,Responsável,Prazo,Observação Interna,Situação
2837,Apropriação de obra,SARAH,22 - VILA GONZAGA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,00.000.000.001,Estrutura - Alojamento ,mes,13,0,0,0,0,0,,4 - 03.002.001.014 - Estrutura - Alojamento  - 100.0%,,,,,,
2840,Apropriação de obra,GEORGE,22 - VILA GONZAGA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,00.000.000.001,"MEIO FIO DE CONCRETO, TIPO MFC 05 (DNIT) - (80x30x12x09CM)",und,20,0,0,0,0,0,,4 - 04.001.001.005 - Assentamento de meio fio pré-moldado de travamento - 100.0%,Alojamento para colaboradores da fôrma.,,,,,
2840,Apropriação de obra,GEORGE,22 - VILA GONZAGA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,00.000.000.002,PLACA PREMOLDADA 40 (L)X 60 (C) X 6CM (ESPESSURA),und,25,0,0,0,0,0,,4 - 04.001.001.007 - Piso em lajota (Trilha das rodas) - 100.0%,Alojamento para colaboradores da fôrma.,,,,,
2840,Apropriação de obra,GEORGE,22 - VILA GONZAGA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,00.000.000.003,CHAVE T PARA CONE,und,3,0,0,0,0,0,,4 - 03.002.001.015 - Estrutura - Ferramentas - 100.0%,Alojamento para colaboradores da fôrma.,,,,,
2841,Apropriação de obra,SARAH,22 - VILA GONZAGA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,00.000.000.001,Instalação de Hidrossanitária - Coluna e Aéreo ,apto,512,0,0,0,0,0,,4 - 03.007.001.005 - Hidraúlica - Colunas de esgoto - 100.0%,"SOLICITAÇÃO DE SERVIÇO DE SERRALHERIA: 
-20 FORMAS PARA MEIO-FIO (0,12 X 0,30 X 0,10 X 1,00M)
-25 FORMAS PARA PLACA DE GARAGEM (0,60 X 0,40 X 0,05M)
- CHAVE PARA CONE TIPO T.",,,,,
2841,Apropriação de obra,SARAH,22 - VILA GONZAGA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,00.000.000.002,Instalação Hidrossanitária - Barrilete,bloco,8,0,0,0,0,0,,4 - 03.007.001.009 - Hidraúlica - Coluna de distribuição de água fria - Bloco - 100.0%,"SOLICITAÇÃO DE SERVIÇO DE SERRALHERIA: 
-20 FORMAS PARA MEIO-FIO (0,12 X 0,30 X 0,10 X 1,00M)
-25 FORMAS PARA PLACA DE GARAGEM (0,60 X 0,40 X 0,05M)
- CHAVE PARA CONE TIPO T.",,,,,
2841,Apropriação de obra,SARAH,22 - VILA GONZAGA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,00.000.000.003,Instalação Hidrossanitária - Prumada Água fria e quente/ Pex hall,und,64,0,0,0,0,0,,4 - 03.007.001.008 - Hidraúlica - PEX Ramal de água fria no hall - 100.0%,"SOLICITAÇÃO DE SERVIÇO DE SERRALHERIA: 
-20 FORMAS PARA MEIO-FIO (0,12 X 0,30 X 0,10 X 1,00M)
-25 FORMAS PARA PLACA DE GARAGEM (0,60 X 0,40 X 0,05M)
- CHAVE PARA CONE TIPO T.",,,,,
2841,Apropriação de obra,SARAH,22 - VILA GONZAGA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,00.000.000.004,Montagem e Fixação do Chassi do PEX dos Banheiros e Coz,apto,512,0,0,0,0,0,,4 - 03.007.001.007 - Hidraúlica - PEX Ramal de água fria - 100.0%,"SOLICITAÇÃO DE SERVIÇO DE SERRALHERIA: 
-20 FORMAS PARA MEIO-FIO (0,12 X 0,30 X 0,10 X 1,00M)
-25 FORMAS PARA PLACA DE GARAGEM (0,60 X 0,40 X 0,05M)
- CHAVE PARA CONE TIPO T.",,,,,
2841,Apropriação de obra,SARAH,22 - VILA GONZAGA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,00.000.000.005,Instalação Hidrossanitária - Prumada Água fria e quente/ Pex,apto,512,0,0,0,0,0,,4 - 03.007.001.007 - Hidraúlica - PEX Ramal de água fria - 100.0%,"SOLICITAÇÃO DE SERVIÇO DE SERRALHERIA: 
-20 FORMAS PARA MEIO-FIO (0,12 X 0,30 X 0,10 X 1,00M)
-25 FORMAS PARA PLACA DE GARAGEM (0,60 X 0,40 X 0,05M)
- CHAVE PARA CONE TIPO T.",,,,,
2841,Apropriação de obra,SARAH,22 - VILA GONZAGA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,00.000.000.006,Instalaçao de ramais de esgoto térreo (rebaixo) ,apto,64,0,0,0,0,0,,4 - 03.007.001.002 - Hidraúlica - Ramais de esgoto - 100.0%,"SOLICITAÇÃO DE SERVIÇO DE SERRALHERIA: 
-20 FORMAS PARA MEIO-FIO (0,12 X 0,30 X 0,10 X 1,00M)
-25 FORMAS PARA PLACA DE GARAGEM (0,60 X 0,40 X 0,05M)
- CHAVE PARA CONE TIPO T.",,,,,
